Patch No:,Patch Name:,Patch Hold Mode:,Patch Split Low:,Patch Split High:,Patch Arp. Mode:,Patch Arp. Speed:,Patch Arp. Length:,Patch Pick Sens.:,Sound1 Program:,Sound1 Bank LSB:,Sound1 Bank MSB:,Sound1 Quantize Mode:,Sound1 Transpose:,Sound1 Volume:,Sound1 Dynamics Sens:,Sound1 Dynamics Offs:,Sound1 Reverb:,Sound2 Program:,Sound2 Bank LSB:,Sound2 Bank MSB:,Sound2 Quantize Mode:,Sound2 Transpose:,Sound2 Volume:,Sound2 Dynamics Sens:,Sound2 Dynamics Offs:,Sound2 Reverb:,Sound3 Program:,Sound3 Bank LSB:,Sound3 Bank MSB:,Sound3 Quantize Mode:,Sound3 Transpose:,Sound3 Volume:,Sound3 Dynamics Sens:,Sound3 Dynamics Offs:,Sound3 Reverb:,Sound4 Program:,Sound4 Bank LSB:,Sound4 Bank MSB:,Sound4 Quantize Mode:,Sound4 Transpose:,Sound4 Volume:,Sound4 Dynamics Sens:,Sound4 Dynamics Offs:,Sound4 Reverb:,Hold Program:,Hold Bank LSB:,Hold Bank MSB:,Hold Quantize Mode:,Hold Transpose:,Hold Volume:,Hold Dynamics Sens:,Hold Dynamics Offs:,Hold Reverb:,Mono/Poly:,Sound1 Enable:,Sound2 Enable:,Sound3 Enable:,Sound4 Enable:,Hold Enable:
36,"Poly Program 36",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,35,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
37,"Poly Program 37",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,36,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
38,"Poly Program 38",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,37,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
39,"Poly Program 39",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,38,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
40,"Poly Program 40",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,39,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
41,"Poly Program 41",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,40,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
42,"Poly Program 42",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,41,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
43,"Poly Program 43",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,42,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
44,"Poly Program 44",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,43,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
45,"Poly Program 45",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,44,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
